220kVIV母_5,220kVIV母_6,220kVIV母_7,220kVIV母_8,220kV龙嵩I回_13,220kV龙嵩I回_14,220kV龙嵩I回_15,220kV龙嵩I回_16
-21.006284713745117,-58.295799255371094,81.73823547363281,3.9706718921661377,-0.007776999846100807,-0.09245499968528748,0.028325999155640602,-0.06256499886512756
-14.967999458312988,-61.556800842285156,80.01565551757812,5.9915361404418945,0.005167999770492315,-0.16503100097179413,0.0274679996073246,-0.13208499550819397
-10.418904304504395,-62.14921569824219,78.1028823852539,9.954323768615723,0.0025790000800043344,-0.23847100138664246,0.0274679996073246,-0.19986699521541595
-4.304529190063477,-65.28520965576172,76.65200805664062,12.125173568725586,0.006893999874591827,-0.3188230097293854,0.021462000906467438,-0.2737320065498352
0.08695100247859955,-66.84505462646484,74.22844696044922,12.954044342041016,0.013798000290989876,-0.40435901284217834,0.02317800000309944,-0.3528110086917877
5.429555892944336,-69.57342529296875,71.33755493164062,12.417251586914062,0.023290999233722687,-0.49594300985336304,0.02317800000309944,-0.4397110044956207
10.64172077178955,-70.94847869873047,68.06085205078125,13.577670097351074,0.03278400003910065,-0.5901190042495728,0.020603999495506287,-0.5205280184745789
15.864755630493164,-73.58445739746094,64.66460418701172,12.05412769317627,0.037099000066518784,-0.6739270091056824,0.02317800000309944,-0.6048210263252258
21.10953140258789,-75.11168670654297,61.26292037963867,12.811951637268066,0.03796200081706047,-0.7611910104751587,0.01459799986332655,-0.6882449984550476
25.35970115661621,-75.8888931274414,57.01353073120117,10.980544090270996,0.05004400014877319,-0.843271017074585,0.009449999779462814,-0.7751449942588806
30.8762264251709,-77.57917785644531,52.872825622558594,11.17789363861084,0.052632998675107956,-0.9288070201873779,0.007734000217169523,-0.8611760139465332
35.63728713989258,-77.33460235595703,48.24848937988281,11.248940467834473,0.06644099950790405,-1.014343023300171,0.005160000175237656,-0.9333029985427856
41.13750457763672,-79.19337463378906,43.841514587402344,10.356918334960938,0.06644099950790405,-1.0886470079421997,0.006018000189214945,-1.0106439590454102
45.24093246459961,-77.69331359863281,39.08676528930664,11.485759735107422,0.07593400031328201,-1.1577670574188232,0.0034439999144524336,-1.0775569677352905
49.806331634521484,-79.12271881103516,34.03858184814453,8.486040115356445,0.07593400031328201,-1.2329349517822266,0.006018000189214945,-1.147076964378357
