17-110kVⅡ段母线电压Ua_17,18-110kVⅡ段母线电压Ub_18,19-110kVⅡ段母线电压Uc_19,20-110kVⅡ段母线电压3Uo_20,9-110kV水木线131电流Ia_9,10-110kV水木线131电流Ib_10,11-110kV水木线131电流Ic_11,12-110kV水木线131电流3Io_12
74.9993896484375,-0.19007693231105804,-74.49061584472656,0.3170444369316101,0.31814831495285034,0.0,-0.3176852762699127,0.0
71.9803466796875,5.227115631103516,-77.0264663696289,-0.03170444443821907,0.28279849886894226,0.0,-0.35298362374305725,0.0
68.80240631103516,10.549269676208496,-79.2453384399414,-0.25363555550575256,0.31814831495285034,0.03535540774464607,-0.3176852762699127,0.0
65.46556854248047,15.744706153869629,-81.21062469482422,-0.4121577739715576,0.31814831495285034,0.03535540774464607,-0.35298362374305725,0.03532412275671959
61.77915954589844,20.845104217529297,-82.73213195800781,-0.5389755368232727,0.28279849886894226,0.07071081548929214,-0.35298362374305725,0.0
57.870296478271484,25.913822174072266,-83.80986785888672,-0.4438622295856476,0.28279849886894226,0.10606622695922852,-0.35298362374305725,0.0
53.6754150390625,30.95086097717285,-84.72911834716797,-0.47556665539741516,0.28279849886894226,0.17677703499794006,-0.35298362374305725,0.0
49.19451904296875,36.177974700927734,-85.42647552490234,-0.3487488925457001,0.24744869768619537,0.17677703499794006,-0.35298362374305725,0.0
44.522945404052734,41.21501541137695,-85.71176147460938,-0.25363555550575256,0.2120988816022873,0.17677703499794006,-0.38828200101852417,0.0
39.597137451171875,45.90357971191406,-85.4898681640625,-0.15852221846580505,0.2120988816022873,0.17677703499794006,-0.35298362374305725,0.0
34.575992584228516,50.40206527709961,-85.01439666748047,-0.2219311147928238,0.1767490655183792,0.21213245391845703,-0.35298362374305725,-0.03532412275671959
29.491287231445312,54.837196350097656,-84.47553253173828,-0.3487488925457001,0.1767490655183792,0.2474878579378128,-0.38828200101852417,0.0
24.501920700073242,58.98720932006836,-83.61968231201172,-0.38045331835746765,0.14139924943447113,0.2474878579378128,-0.35298362374305725,0.03532412275671959
19.353656768798828,62.7570686340332,-82.25666046142578,-0.3487488925457001,0.10604944080114365,0.2828432619571686,-0.35298362374305725,0.0
14.046496391296387,66.431884765625,-80.73515319824219,-0.4121577739715576,0.14139924943447113,0.2474878579378128,-0.38828200101852417,0.0
8.70755672454834,69.853271484375,-78.83325958251953,-0.4438622295856476,0.07069962471723557,0.2828432619571686,-0.35298362374305725,0.03532412275671959
3.4639549255371094,72.79946899414062,-76.51930236816406,-0.25363555550575256,0.03534981235861778,0.31819868087768555,-0.3176852762699127,0.0
-1.843205451965332,75.5239028930664,-73.85665893554688,-0.03170444443821907,0.03534981235861778,0.31819868087768555,-0.3176852762699127,0.0
-7.182145118713379,77.96321868896484,-70.9404296875,0.06340888887643814,0.0,0.3535540699958801,-0.3176852762699127,0.0
-12.457526206970215,79.95903015136719,-67.67552185058594,0.12681777775287628,0.0,0.31819868087768555,-0.2823868989944458,0.0
-17.5422306060791,81.70140075683594,-64.188720703125,0.3170444369316101,-0.03534981235861778,0.3535540699958801,-0.2823868989944458,0.03532412275671959
-22.658714294433594,83.15866088867188,-60.54343795776367,0.3487488925457001,-0.07069962471723557,0.31819868087768555,-0.3176852762699127,0.0
-27.806978225708008,84.39415740966797,-56.61286926269531,0.28534001111984253,-0.07069962471723557,0.31819868087768555,-0.24708853662014008,0.0
